id;course_id;grade
8;9;17
8;9;8
8;9;9
8;9;13
8;9;5
8;9;15
8;7;9
8;7;13.5
8;7;14
8;7;8
8;7;14
8;3;4.9
8;3;9.9
8;3;9.4
8;3;8.6
8;3;8.1
8;3;10.6
8;1;15
8;1;12
8;1;11
8;1;12
8;2;9.5
8;2;8.5
8;2;12
8;2;11.5
8;2;8.5
8;2;7.5
8;2;9
8;2;9
8;2;10
8;5;17.1
8;5;13.3
8;5;14.9
8;5;14.5
8;5;15.1
8;5;14.3
8;5;13.5
8;8;8.5
8;8;9
8;8;13
8;8;9
8;8;7.5
8;6;7.75
8;6;9.25
8;6;7.75
8;6;8.75
8;6;11.25
8;6;8.75
8;6;7.5
8;6;8.5
8;6;6.75
8;6;8.5
8;10;13
8;10;12.5
8;10;12
8;10;9.5
8;4;13.75
8;4;11.75
8;4;13
8;4;18
60;9;11
60;9;7
60;9;7
60;9;8
60;9;8
60;9;11
60;7;_
60;7;12
60;7;11
60;7;11
60;7;12.5
60;3;9.9
60;3;11.1
60;3;10.1
60;3;9.8
60;3;7.7
60;3;10.3
60;1;11.5
60;1;15
60;1;15
60;1;20
60;2;9
60;2;10.5
60;2;7.5
60;2;6.5
60;2;8
60;2;9
60;2;5.5
60;2;7.5
60;2;5.5
60;5;15.5
60;5;16.4
60;5;13.8
60;5;14.2
60;5;16.5
60;5;13.2
60;5;14.1
60;8;6.5
60;8;10
60;8;7.5
60;8;8.5
60;8;8
60;6;6.5
60;6;7.25
60;6;6.5
60;6;6.25
60;6;8.25
60;6;7.25
60;6;7.5
60;6;9.25
60;6;6.75
60;6;8.25
60;10;12
60;10;7
60;10;8
60;10;10.5
60;4;12.75
60;4;10
60;4;14.5
60;4;15.75
60;4;14.75
60;4;10.5
84;9;12
84;9;13
84;9;8
84;9;9
84;9;11
84;9;_
84;7;12
84;7;9.5
84;7;14
84;7;11
84;7;10.5
84;3;7.7
84;3;8.7
84;3;8.9
84;3;7
84;3;10.7
84;3;10.1
84;1;15
84;1;14
84;1;11.5
84;2;9
84;2;7
84;2;8.5
84;2;9.5
84;2;11
84;2;7
84;2;9
84;2;8.5
84;2;8.5
84;5;17.4
84;5;12.8
84;5;12.5
84;5;12.1
84;5;14
84;5;11.5
84;5;14.6
84;8;9
84;8;8.5
84;8;10
84;8;9.5
84;8;8.5
84;6;8.75
84;6;8.75
84;6;9.5
84;6;7.5
84;6;8.5
84;6;7.5
84;6;9.75
84;6;7.5
84;6;6.5
84;6;7
84;10;10
84;10;6.5
84;10;12
84;10;10
84;4;12
84;4;14.25
84;4;19
84;4;17.25
84;4;10.5
84;4;15.25
124;9;11
124;9;12
124;9;13
124;9;11
124;9;15
124;9;5
124;7;_
124;7;12
124;7;15.5
124;7;12
124;7;7.5
124;3;7
124;3;6.4
124;3;7.5
124;3;5.2
124;3;10
124;3;7.7
124;1;13
124;1;17.5
124;1;11.5
124;1;20
124;2;10
124;2;6
124;2;7
124;2;11.5
124;2;5
124;2;12.5
124;2;9
124;2;7.5
124;2;8.5
124;5;15.4
124;5;14.8
124;5;13.5
124;5;14.1
124;5;15.5
124;5;13.3
124;5;13.6
124;8;7
124;8;9
124;8;8.5
124;8;10
124;8;7.5
124;6;7
124;6;9.25
124;6;_
124;6;6.25
124;6;7
124;6;8.25
124;6;11
124;6;8.25
124;6;_
124;6;8
124;10;10.5
124;10;13
124;10;12.5
124;10;6.5
124;4;16.5
124;4;8
124;4;16.25
124;4;13.25
124;4;15.5
124;4;12.5
192;9;10
192;9;8
192;9;9
192;9;3
192;9;11
192;9;8
192;7;12
192;7;11.5
192;7;10
192;7;15.5
192;7;10
192;3;7.8
192;3;5.7
192;3;7.3
192;3;10.3
192;3;8
192;3;6.6
192;1;20
192;1;17
192;1;15.5
192;1;15
192;2;6.5
192;2;11
192;2;5
192;2;10.5
192;2;10.5
192;2;7.5
192;2;10
192;2;12
192;5;15.2
192;5;14.8
192;5;14.9
192;5;14.9
192;5;13
192;5;13.9
192;5;16.3
192;8;7.5
192;8;10.5
192;8;11
192;8;9.5
192;8;9
192;6;7.5
192;6;6.25
192;6;7.75
192;6;8
192;6;9.75
192;6;9
192;6;8.5
192;6;8.25
192;6;8.25
192;6;9.25
192;10;11.5
192;10;9
192;10;9.5
192;10;12
192;4;14.5
192;4;13.5
192;4;11.5
192;4;3.75
192;4;14.75
192;4;13.25
219;9;12
219;9;9
219;9;9
219;9;10
219;9;2
219;7;11
219;7;11.5
219;7;10
219;7;9
219;7;14.5
219;3;12.8
219;3;11.5
219;3;8.2
219;3;6.7
219;3;5.8
219;3;7.1
219;1;12.5
219;1;15.5
219;1;12.5
219;1;14
219;2;6.5
219;2;9.5
219;2;11
219;2;5.5
219;2;8
219;2;9
219;2;7.5
219;2;9
219;2;6
219;5;16.7
219;5;_
219;5;12.6
219;5;15.4
219;5;15.6
219;5;14.6
219;5;14.3
219;8;7
219;8;9
219;8;9
219;8;8.5
219;8;9.5
219;6;10
219;6;8.75
219;6;7
219;6;8.25
219;6;8.25
219;6;6.75
219;6;6.75
219;6;6.75
219;6;6
219;6;7.25
219;10;7
219;10;8
219;10;10.5
219;10;10.5
219;4;11.75
219;4;10.5
219;4;16.5
219;4;15
219;4;10.25
219;4;8.5
250;9;11
250;9;9
250;9;11
250;9;6
250;9;12
250;9;7
250;7;12.5
250;7;11.5
250;7;11
250;7;13
250;7;14
250;3;7.8
250;3;10.6
250;3;7.6
250;3;10.2
250;3;10.6
250;3;5.8
250;1;19
250;1;11.5
250;1;17
250;1;11.5
250;2;6
250;2;8.5
250;2;5.5
250;2;6.5
250;2;7
250;2;8.5
250;2;6
250;2;7
250;2;8
250;5;16.2
250;5;12.2
250;5;14.5
250;5;14.7
250;5;13.7
250;5;16.5
250;5;15.3
250;8;8.5
250;8;8
250;8;7.5
250;8;7.5
250;8;7
250;6;7
250;6;6.5
250;6;7
250;6;8.75
250;6;6.75
250;6;8.75
250;6;5.75
250;6;7.5
250;6;7.25
250;6;6.25
250;10;10
250;10;9.5
